No, Length, Seq, Win, Len
5192, 19034, 6502841, 29200, 18980
5202, 13194, 6521821, 29200, 13140
5224, 1514, 6534961, 29200, 1460
5241, 1514, 6534961, 29200, 1460
5245, 1514, 6536421, 29200, 1460
5246, 1514, 6537881, 29200, 1460
5248, 27794, 6539341, 29200, 27740
5249, 27794, 6567081, 29200, 27740
5253, 4434, 6594821, 29200, 4380
5267, 19034, 6599201, 29200, 18980
5276, 13194, 6618181, 29200, 13140
5283, 8814, 6631321, 29200, 8760
5310, 20494, 6640081, 29200, 20440
5311, 2974, 6660521, 29200, 2920
5315, 20494, 6663441, 29200, 20440
5323, 11734, 6683881, 29200, 11680
5338, 20494, 6695561, 29200, 20440
5346, 11734, 6716001, 29200, 11680
5362, 21954, 6727681, 29200, 21900
5369, 10274, 6749581, 29200, 10220
5385, 21954, 6759801, 29200, 21900
5393, 10274, 6781701, 29200, 10220
5409, 21954, 6791921, 29200, 21900
5417, 10274, 6813821, 29200, 10220
5433, 21954, 6824041, 29200, 21900
5441, 10274, 6845941, 29200, 10220
5460, 21954, 6856161, 29200, 21900
5465, 10274, 6878061, 29200, 10220
5488, 21954, 6888281, 29200, 21900
5489, 10274, 6910181, 29200, 10220
5505, 21954, 6920401, 29200, 21900
5513, 10274, 6942301, 29200, 10220
5529, 21954, 6952521, 29200, 21900
5537, 10274, 6974421, 29200, 10220
5553, 21954, 6984641, 29200, 21900
5582, 1514, 7006541, 29200, 1460
5600, 8814, 7008001, 29200, 8760
5601, 32174, 7016761, 29200, 32120
5602, 21954, 7048881, 29200, 21900
5618, 5894, 7070781, 29200, 5840
5651, 1514, 7075161, 29200, 1460
5654, 54, 7076620, 29200, 0
5656, 1514, 7076621, 29200, 1460
5657, 1514, 7078081, 29200, 1460
5659, 1514, 7079541, 29200, 1460
5660, 32174, 7081001, 29200, 32120
5661, 24874, 7113121, 29200, 24820
5704, 7354, 7137941, 29200, 7300
5705, 32174, 7145241, 29200, 32120
5706, 21954, 7177361, 29200, 21900
5749, 54, 7199260, 29200, 0
5750, 54, 7199260, 29200, 0
5752, 54, 7199260, 29200, 0
5755, 4434, 7199261, 29200, 4380
5756, 4434, 7203641, 29200, 4380
5757, 1514, 7208021, 29200, 1460
5758, 4434, 7209481, 29200, 4380
5760, 2974, 7213861, 29200, 2920
5762, 2974, 7216781, 29200, 2920
5767, 2974, 7219701, 29200, 2920
5768, 2974, 7222621, 29200, 2920
5773, 2974, 7225541, 29200, 2920
5774, 7354, 7228461, 29200, 7300
5782, 5894, 7235761, 29200, 5840
